# CE5 leaf -> CE .NET twin page id (official catalogs, title-matched)
# 3490 leaves have a CE .NET twin; 13567 do not ('-').  The struct
# sweep (tools/ce-sweep.py) additionally verifies the twin page's own
# <title> at runtime, so TOC labels that disagree with the page title
# (e.g. catalog 'Touch Screen (Stylus) Registry Settings' serving the
# 'Touch Screen Registry Settings' page) are dropped from the lookup.
&lt;xsl:preserve-space&gt; and &lt;xsl:strip-space&gt; Example	ms862736	-
(Non-Compound) FileType Key	ms862662	ms890802
.NET Compact Framework Migration	ms862638	-
.NET Compact Framework OS Design Development	ms862657	-
802.11 Wireless LAN Object Identifiers	ms894762	-
802.1x Object Identifiers	ms890411	-
802.1x Security	ms890420	-
802.1x User Administration Issues	ms890429	-
A Quick Introduction to WSML	ms862087	-
ABC	ms901108	ms900753
ACCEL	aa452837	-
ACM Format Tags and Filter Tags	ms890477	-
ACMDM_DRIVER_ABOUT	ms895512	-
ACMDM_DRIVER_DETAILS	ms895966	-
ACMDM_DRIVER_NOTIFY	ms895983	-
ACMDM_FILTERTAG_DETAILS	ms896077	-
ACMDM_FILTER_DETAILS	ms896075	-
ACMDM_FORMATTAG_DETAILS	ms896080	-
ACMDM_FORMAT_DETAILS	ms896078	-
ACMDM_FORMAT_SUGGEST	ms896079	-
ACMDM_HARDWARE_WAVE_CAPS_INPUT	ms896081	-
ACMDM_HARDWARE_WAVE_CAPS_OUTPUT	ms896082	-
ACMDM_STREAM_CLOSE	ms896083	-
ACMDM_STREAM_CONVERT	ms896084	-
ACMDM_STREAM_OPEN	ms896085	-
ACMDM_STREAM_PREPARE	ms896086	-
ACMDM_STREAM_RESET	ms896087	-
ACMDM_STREAM_SIZE	ms896088	-
ACMDM_STREAM_UNPREPARE	ms896089	-
ACMDRVFORMATSUGGEST	ms896091	-
ACMDRVOPENDESC	ms896093	-
ACMDRVSTREAMHEADER	ms896094	-
ACMDRVSTREAMINSTANCE	ms896095	-
ACMDRVSTREAMSIZE	ms896096	-
ACMDRV_MESSAGE_PARAMS	ms896092	-
ACM_Close	ms895510	-
ACM_Deinit	ms895511	-
ACM_IOControl	ms896098	-
ACM_Init	ms896097	-
ACM_OPEN (Shell and User Interface)	aa452840	-
ACM_Open (ACM Driver)	ms896099	-
ACM_PLAY	aa452841	-
ACM_PowerDown	ms896100	-
ACM_PowerUp	ms896101	-
ACM_Read	ms896102	-
ACM_STOP	aa452842	-
ACM_Seek	ms896103	-
ACM_Write	ms896104	-
ACN_START	aa452843	-
ACN_STOP	aa452844	-
ADVF	aa513925	ms886084
AFPROTOCOLS	aa450284	ms910258
AGFA AC3 Font Compression OS Design Development	ms903715	-
ALG_ID	ms937014	ms884389
ALLOCATOR_PROPERTIES	ms925330	-
AMGetErrorText	ms925335	-
AMGetWideString	ms925336	-
AMOVIESETUP_FILTER	ms925340	-
AMOVIESETUP_MEDIATYPE	ms925341	-
AMOVIESETUP_PIN	ms925342	-
AMVPDATAINFO	ms925347	-
AMVPSIZE	ms925349	-
AMVP_MODE	ms925348	-
AM_MEDIA_TYPE	ms925337	-
AM_SAMPLE2_PROPERTIES	ms925343	-
AM_SAMPLE_PROPERTY_FLAGS	ms925344	-
AM_STREAM_INFO	ms925345	-
AM_STREAM_INFO_FLAGS	ms925346	-
AMovieDllRegisterServer	ms925338	-
AMovieDllUnregisterServer	ms925339	-
API Access	ms894382	ms898275
API Flags	aa452096	-
ARGB	ms925572	-
ARRAYDESC	ms863667	ms886091
ASP Functionality in Windows CE	ms880937	-
ASSERT	aa451037	-
ASSERTMSG	aa451039	-
ASX Elements Reference/ABSTRACT	ms925328	-
ASX Elements Reference/ASX	ms925588	-
ASX Elements Reference/AUTHOR	ms925730	-
ASX Elements Reference/BASE	ms925786	-
ASX Elements Reference/COPYRIGHT	ms926787	-
ASX Elements Reference/DURATION (ASX Element)	aa451616	-
ASX Elements Reference/ENDMARKER	aa451683	-
ASX Elements Reference/ENTRY	aa451685	-
ASX Elements Reference/ENTRYREF	aa451687	-
ASX Elements Reference/EVENT	aa451705	-
ASX Elements Reference/MOREINFO	ms932215	-
ASX Elements Reference/PARAM	ms932252	-
ASX Elements Reference/REF	ms932281	-
ASX Elements Reference/REPEAT	ms932287	-
ASX Elements Reference/STARTMARKER	ms932317	-
ASX Elements Reference/STARTTIME	ms932318	-
ASX Elements Reference/TITLE (ASX Element)	aa452393	-
ASYNC_COMPLETION	aa450289	ms907130
ATAPI Slave Devices	ms892148	-
ATI Sample Display Driver Optimization	ms890627	-
ATTACHLIST	ms896110	-
ATTRIB	aa452863	ms879811
AUDIOGAINCLASS	ms925607	-
AUDIO_STREAM_CONFIG_CAPS	ms925720	-
AUDIO_SampleFrequency	ms896115	-
AV String Constants	ms898942	-
AVC_VCR_CMD_ANALOG_AUDIO_OUTPUT_MODE	ms896116	-
